Vessel ID,Hull File,Vessel Type,Vessel Type Detail,Catalogue,LOA [m],LPP [m],Breath [m],Design Draught [m],Height [m],Capacity [t],Capacity [TEU],Volume [m3],LCB [m],VCB [m],LCF [m],IT [m4],IL [m4],CB,Notes
Bulk Carrier 1,NA,Bulk Carrier,Bulk Carrier - Conventional Bow,Free,333.6,NA,58.1,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Max Height
Bulk Carrier 2,NA,Bulk Carrier,Bulk Carrier - Cylindrical Bow,Free,269.98,NA,38.01,NA,25.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Moulded Depth
Bulk Carrier 3,NA,Bulk Carrier,Bulk Carrier - Conventional Bow,Free,147,NA,23,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Max Height
Container 1,NA,Container,Container,Free,349.6,NA,45.6,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Moulded Depth
Container 2,NA,Container,Container,Free,195,NA,28.5,NA,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Moulded Depth
Tanker 1,NA,Tanker,Tanker - Cylindrical Bow,Free,239.1,NA,41.06,NA,25.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Moulded Depth
Tanker 2,NA,Tanker,Tanker - Conventional Bow,Free,144.1,NA,19.01,NA,16.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Moulded Depth
Tanker 3,NA,Tanker,Tanker - Conventional Bow,Free,193.4,NA,30.8,NA,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Moulded Depth
Gas Carrier 1,NA,Gas Carrier,Gas Carrier - LPG,Free,134.8,NA,20,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Moulded Depth
Passenger Vessel 1,NA,Passenger Vessel,Passenger Vessel,Free,267.4,NA,32.3,NA,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Moulded Depth
Passenger Vessel 2,NA,Passenger Vessel,Passenger Vessel,Free,347.8,NA,41.6,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Moulded Depth
General Cargo 1,NA,General Cargo,General Cargo,Free,150,NA,20,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,depth_field=Moulded Depth
Bul-01b,Bul-01_Bulker_2000t.hull,Bulk carrier,Bulk carrier,For purchase,68.8,63,13.2,4.5,6,2000,NA,2975,33.8,2.36,31.55,9502.6,204697,0.79,NA
Bul-02,Bul-02_Bulker_5000t.hull,Bulk carrier,Bulk carrier,For purchase,90,85,14.8,6.8,10.4,5000,NA,6452,43.7,3.53,40.34,15820.3,519502,0.76,NA
Bul-03,Bul-03_Bulker_20000t.hull,Bulk carrier,Bulk carrier,For purchase,157,147.4,25.5,9.2,14,20000,NA,28016,76.7,4.76,71.29,158895,5147130,0.81,NA
Bul-04,Bul-04_Bulker_37300t.hull,Bulk carrier,Bulk carrier - Large Handy,For purchase,180,173,29.8,10.6,16.1,37300,NA,45146,90.8,5.44,84.65,310244,10048600,0.83,NA
Bul-05,Bul-05_Bulker_49300t.hull,Bulk carrier,Bulk carrier,For purchase,199.9,192,32.2,11.5,17.6,49350,NA,59015,101.3,5.93,94.22,436330,14910000,0.83,NA
Bul-06,Bul-06_Bulker_74000t.hull,Bulk carrier,Bulk carrier - PanaMax,For purchase,225,216,32.3,13.9,18.3,74382,NA,84960,111.1,7.13,104.71,526820,23325500,0.88,NA
Bul-07,Bul-07_Bulker_84000t.hull,Bulk carrier,Bulk carrier - Kamsarmax,For purchase,228.5,223,36.5,13.8,21,84000,NA,95479,117.6,7.08,110.42,761024,26920900,0.85,NA
Bul-08,Bul-08_Bulker_105000t.hull,Bulk carrier,Bulk carrier - Mini Capesize,For purchase,250,245,43,14,21.4,105000,NA,124632,129.2,7.19,121.32,1356300,41519400,0.85,NA
Bul-09,Bul-09_Bulker_187000t.hull,Bulk carrier,Bulk carrier - Capesize,For purchase,299.9,294,47.5,18,27.5,187882,NA,213904,155.1,9.25,145.74,2211730,80084700,0.85,NA
Bul-10,Bul-10_Bulker_250000t.hull,Bulk carrier,Bulk carrier - Capesize,For purchase,327,321.5,57,19,29,250000,NA,282080,167.1,9.81,156.05,3862650,117593000,0.81,NA
Bul-11,Bul-11_Bulker_400000t.hull,Bulk carrier,Bulk carrier - Capesize,For purchase,362,355,65,23,35,400000,NA,440522,187.2,11.85,174.98,6631150,187351000,0.83,NA
